FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,TIME_PERIOD,OBS_VALUE
Annual,PAN,Panama,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,79.594
Annual,PNG,Papua New Guinea,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,66.134
Annual,PRY,Paraguay,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.844
Annual,PER,Peru,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.74
Annual,PHL,Philippines,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,69.833
Annual,POL,Poland,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.50731707
Annual,PRT,Portugal,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,82.2804878
Annual,PRI,Puerto Rico,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.69
Annual,QAT,Qatar,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,82.368
Annual,ROU,Romania,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.60731707
Annual,RUS,Russian Federation,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.25463415
Annual,RWA,Rwanda,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,67.785
Annual,WSM,Samoa,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.698
Annual,SMR,San Marino,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,85.706
Annual,STP,Sao Tome and Principe,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,69.718
